ProductSKU;Brand;LinkFROriginal;LinkENOriginal
MIL0910-20;MILWAUKEE;https://www.youtube.com/embed/VzrqT-Uvsro;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0912-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0920-20;MILWAUKEE;https://www.youtube.com/embed/t4JNH9eTjUI;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0920-22HD;MILWAUKEE;https://www.youtube.com/embed/t4JNH9eTjUI;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0923-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0930-22HD;MILWAUKEE;https://www.youtube.com/embed/e_3REvlMd84;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0932-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0933-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL0940-20;MILWAUKEE;;https://assets.edgenet.com/483daf5d-f998-4ad1-9836-3d93f0131ed7
MIL0960-20;MILWAUKEE;;https://www.youtube.com/watch?v=gPPm01HLFXE
MIL0970-20;MILWAUKEE;;https://www.youtube.com/watch?v=NqgrZHNB8zw
MIL0980-20;MILWAUKEE;https://www.youtube.com/embed/61n7ZR4ull0;https://www.youtube.com/watch?v=OHT17BSHpNc
MIL2010R;MILWAUKEE;;https://www.youtube.com/watch?v=i6M98CfCkZ4
MIL2011R;MILWAUKEE;;https://www.youtube.com/watch?v=In9gPvBz0Hk
MIL205B-212X;MILWAUKEE;;https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system
MIL205B-213X;MILWAUKEE;;https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system
MIL205B-21M;MILWAUKEE;;https://milwaukeetool.widen.net/s/rbtks5jjqw/milwaukeer-m12trade-mark-sign-heated-axistrade-mark-sign-layering-system
MIL2112-21;MILWAUKEE;https://assets.edgenet.com//8d25fa65-ea8f-49ee-8288-5d3e4a7da276;
MIL2113-21;MILWAUKEE;;https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30
MIL2114-21;MILWAUKEE;https://milwaukeetool.widen.net/s/fdtlnkzvvk/milwaukeer-redlithiumtrad;
MIL2115-21;MILWAUKEE;;https://assets.edgenet.com/d59d704c-b162-4e96-9b85-48c7232cca30
MIL2116-21;MILWAUKEE;;https://www.youtube.com/watch?v=t4JNH9eTjUI
MIL2117-21;MILWAUKEE;;https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0
MIL2118-21;MILWAUKEE;;https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0
MIL2122-20;MILWAUKEE;https://milwaukeetool.widen.net/s/fwhtdrcxft/milwaukeer_m18trade-mark-;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL2123-20;MILWAUKEE;;https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0
MIL2123-21HD;MILWAUKEE;;https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0
MIL2125-20;MILWAUKEE;https://assets.edgenet.com//de9e5b6f-f4e2-472f-b8eb-ac85a2e33b08;https://www.youtube.com/watch?v=8DFlljLCM4o
MIL2126-20;MILWAUKEE;;https://assets.edgenet.com/9a6cf600-032c-4dea-a574-dc224f564de0
MIL2126-21XC;MILWAUKEE;;https://www.youtube.com/watch?v=8DFlljLCM4o
MIL2127-20;MILWAUKEE;;https://assets.edgenet.com/fbe686fc-7347-4315-ba1f-ba2f97565909
MIL2128-21;MILWAUKEE;;https://assets.edgenet.com/fbe686fc-7347-4315-ba1f-ba2f97565909
MIL2128-22;MILWAUKEE;;https://assets.edgenet.com/de9e5b6f-f4e2-472f-b8eb-ac85a2e33b08
MIL2131-20;MILWAUKEE;https://milwaukeetool.widen.net/s/w2l7zpqct2/milwaukeer-jobsite-lighti;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL2136-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL2144-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL2145-20;MILWAUKEE;;https://assets.edgenet.com/3241c770-9b21-454b-a707-03dd068d1744
MIL2146-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
MIL2150-20;MILWAUKEE;;https://www.youtube.com/watch?v=KvhkTwwB2Zk
